.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,s,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,b,b,.,.,x,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,b,b,.,b,x,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,x,.,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,x,.,b,x,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,x,.,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,x,tb,r,r,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,.,.,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,.,.,o,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,o,x,.,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,.,.,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,.,to,.,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
x,x,x,x,x,x,.,.,.,.,.,.,.,.,.,.,.,.,.,.
